scientific_name,family,genus,image_count,common_name,dataset_source,is_viable,is_recommended,class_id
Acanthurus olivaceus,Acanthuridae,Acanthurus,284,Orangespot surgeonfish,OzFish,True,True,61
Naso unicornis,Acanthuridae,Naso,282,Bluespine unicornfish,OzFish,True,True,62
Lagocephalus sceleratus,Tetraodontidae,Lagocephalus,280,,OzFish,True,True,63
Lethrinus variegatus,Lethrinidae,Lethrinus,276,Slender emperor,OzFish,True,True,64
Lutjanus lutjanus,Lutjanidae,Lutjanus,268,,OzFish,True,True,65
Parupeneus spilurus,Mullidae,Parupeneus,264,,OzFish,True,True,66
Saurida undosquamis,Synodontidae,Saurida,264,,OzFish,True,True,67
Coris aygula,Labridae,Coris,260,,OzFish,True,True,68
Lutjanus carponotatus,Lutjanidae,Lutjanus,258,,OzFish,True,True,69
Chromis weberi,Pomacentridae,Chromis,256,,OzFish,True,True,70
Echeneis naucrates,Echeneidae,Echeneis,252,,OzFish,True,True,71
Chromis margaritifer,Pomacentridae,Chromis,252,,OzFish,True,True,72
Scolopsis bilineata,Nemipteridae,Scolopsis,244,,OzFish,True,True,73
Chaetodon assarius,Chaetodontidae,Chaetodon,242,,OzFish,True,True,74
Scolopsis xenochrous,Nemipteridae,Scolopsis,240,,OzFish,True,True,75
Hologymnosus annulatus,Labridae,Hologymnosus,237,,OzFish,True,True,76
Scarus ghobban,Scaridae,Scarus,236,,OzFish,True,True,77
Parupeneus barberinoides,Mullidae,Parupeneus,226,,OzFish,True,True,78
Halichoeres hortulanus,Labridae,Halichoeres,220,Checkerboard wrasse,OzFish,True,True,79
Caesio teres,Caesionidae,Caesio,212,,OzFish,True,True,80
Sufflamen chrysopterum,Balistidae,Sufflamen,210,Halfmoon triggerfish,OzFish,True,True,81
Scarus rivulatus,Scaridae,Scarus,208,Surf parrotfish,OzFish,True,True,82
Halichoeres trimaculatus,Labridae,Halichoeres,207,,OzFish,True,True,83
Naso brevirostris,Acanthuridae,Naso,206,,OzFish,True,True,84
Parapercis clathrata,Pinguipedidae,Parapercis,206,,OzFish,True,True,85
Chaetodon plebeius,Chaetodontidae,Chaetodon,202,,OzFish,True,True,86
Chlorurus capistratoides,Scaridae,Chlorurus,202,,OzFish,True,True,87
Dascyllus aruanus,Pomacentridae,Dascyllus,201,,OzFish,True,True,88
Caesio cuning,Caesionidae,Caesio,190,Redbelly yellowtail fusilier,OzFish,True,False,89
Acanthurus dussumieri,Acanthuridae,Acanthurus,190,,OzFish,True,False,90
Dascyllus trimaculatus,Pomacentridae,Dascyllus,186,,OzFish,True,False,91
Carangoides caeruleopinnatus,Carangidae,Carangoides,186,,OzFish,True,False,92
Carangoides ferdau,Carangidae,Carangoides,184,,OzFish,True,False,93
Pristotis obtusirostris,Pomacentridae,Pristotis,184,,OzFish,True,False,94
Scarus rubroviolaceus,Scaridae,Scarus,184,,OzFish,True,False,95
Halichoeres nebulosus,Labridae,Halichoeres,182,,OzFish,True,False,96
Lethrinus amboinensis,Lethrinidae,Lethrinus,180,,OzFish,True,False,97
Halichoeres zeylonicus,Labridae,Halichoeres,178,,OzFish,True,False,98
Pomacentrus vaiuli,Pomacentridae,Pomacentrus,176,,OzFish,True,False,99
Scolopsis monogramma,Nemipteridae,Scolopsis,176,,OzFish,True,False,100
Epinephelus bilobatus,Serranidae,Epinephelus,174,,OzFish,True,False,101
Abudefduf bengalensis,Pomacentridae,Abudefduf,174,,OzFish,True,False,102
Lethrinus ravus,Lethrinidae,Lethrinus,172,,OzFish,True,False,103
Triaenodon obesus,Carcharhinidae,Triaenodon,165,,OzFish,True,False,104
Lethrinus olivaceus,Lethrinidae,Lethrinus,164,Longface emperor,OzFish,True,False,105
Symphorus nematophorus,Lutjanidae,Symphorus,159,,OzFish,True,False,106
Choerodon schoenleinii,Labridae,Choerodon,159,,OzFish,True,False,107
Gymnocranius grandoculis,Lethrinidae,Gymnocranius,156,,OzFish,True,False,108
Sphyraena qenie,Sphyraenidae,Sphyraena,156,,OzFish,True,False,109
Zebrasoma desjardinii,Acanthuridae,Zebrasoma,152,,OzFish,True,False,110
Lutjanus erythropterus,Lutjanidae,Lutjanus,152,,OzFish,True,False,111
Chromis atripectoralis,Pomacentridae,Chromis,152,,OzFish,True,False,112
Naso thynnoides,Acanthuridae,Naso,152,,OzFish,True,False,113
Acanthurus mata,Acanthuridae,Acanthurus,150,,OzFish,True,False,114
Pterocaesio chrysozona,Caesionidae,Pterocaesio,148,Goldband fusilier,OzFish,True,False,115
Stegastes fasciolatus,Pomacentridae,Stegastes,142,,OzFish,True,False,116
Lutjanus fulviflamma,Lutjanidae,Lutjanus,140,Dory snapper,OzFish,True,False,117
Parupeneus pleurostigma,Mullidae,Parupeneus,140,,OzFish,True,False,118
Abudefduf vaigiensis,Pomacentridae,Abudefduf,140,,OzFish,True,False,119
Leptojulis cyanopleura,Labridae,Leptojulis,136,,OzFish,True,False,120
Chaetodon citrinellus,Chaetodontidae,Chaetodon,134,,OzFish,True,False,121
Pentapodus emeryii,Nemipteridae,Pentapodus,132,,OzFish,True,False,122
Stethojulis bandanensis,Labridae,Stethojulis,132,,OzFish,True,False,123
Chaetodon trifascialis,Chaetodontidae,Chaetodon,130,,OzFish,True,False,124
Kyphosus vaigiensis,Kyphosidae,Kyphosus,130,,OzFish,True,False,125
Zanclus cornutus,Zanclidae,Zanclus,128,,OzFish,True,False,126
Chaetodon ulietensis,Chaetodontidae,Chaetodon,128,,OzFish,True,False,127
Lutjanus fulvus,Lutjanidae,Lutjanus,127,Blacktail snapper,OzFish,True,False,128
Apolemichthys trimaculatus,Pomacanthidae,Apolemichthys,126,,OzFish,True,False,129
Cirrhilabrus exquisitus,Labridae,Cirrhilabrus,126,,OzFish,True,False,130
Lutjanus gibbus,Lutjanidae,Lutjanus,126,Humpback red snapper,OzFish,True,False,131
Zebrasoma scopas,Acanthuridae,Zebrasoma,124,,OzFish,True,False,132
Gomphosus varius,Labridae,Gomphosus,123,Birdwrasse,OzFish,True,False,133
Chaetodon lunula,Chaetodontidae,Chaetodon,122,,OzFish,True,False,134
Sphyraena obtusata,Sphyraenidae,Sphyraena,122,,OzFish,True,False,135
Stegastes nigricans,Pomacentridae,Stegastes,120,,OzFish,True,False,136
Diagramma pictum,Haemulidae,Diagramma,120,,OzFish,True,False,137
Lutjanus rivulatus,Lutjanidae,Lutjanus,120,Blubberlip snapper,OzFish,True,False,138
Cheilio inermis,Labridae,Cheilio,118,,OzFish,True,False,139
Parupeneus heptacanthus,Mullidae,Parupeneus,118,,OzFish,True,False,140
Melichthys vidua,Balistidae,Melichthys,118,,OzFish,True,False,141
Pentapodus vitta,Nemipteridae,Pentapodus,118,,OzFish,True,False,142
Oxycheilinus bimaculatus,Labridae,Oxycheilinus,116,,OzFish,True,False,143
Pomacanthus semicirculatus,Pomacanthidae,Pomacanthus,116,,OzFish,True,False,144
Cephalopholis argus,Serranidae,Cephalopholis,113,,OzFish,True,False,145
Hemigymnus melapterus,Labridae,Hemigymnus,112,Blackeye thicklip,OzFish,True,False,146
Cheilinus chlorourus,Labridae,Cheilinus,108,,OzFish,True,False,147
Variola albimarginata,Serranidae,Variola,108,,OzFish,True,False,148
Acanthurus leucocheilus,Acanthuridae,Acanthurus,106,,OzFish,True,False,149
Scarus frenatus,Scaridae,Scarus,106,,OzFish,True,False,150
Pomacanthus imperator,Pomacanthidae,Pomacanthus,106,,OzFish,True,False,151
Rhinecanthus aculeatus,Balistidae,Rhinecanthus,106,,OzFish,True,False,152
Fistularia commersonii,Fistulariidae,Fistularia,104,,OzFish,True,False,153
Lethrinus genivittatus,Lethrinidae,Lethrinus,102,,OzFish,True,False,154
Oxycheilinus rhodochrous,Labridae,Oxycheilinus,102,,OzFish,True,False,155
Cheilinus trilobatus,Labridae,Cheilinus,101,,OzFish,True,False,156
Acanthurus nigricans,Acanthuridae,Acanthurus,100,,OzFish,True,False,157
Lethrinus miniatus,Lethrinidae,Lethrinus,100,Trumpet emperor,OzFish,True,False,158
Variola louti,Serranidae,Variola,98,,OzFish,False,False,159
Naso hexacanthus,Acanthuridae,Naso,96,,OzFish,False,False,160
Stegastes obreptus,Pomacentridae,Stegastes,96,,OzFish,False,False,161
Chaetodon kleinii,Chaetodontidae,Chaetodon,96,,OzFish,False,False,162
Cephalopholis urodeta,Serranidae,Cephalopholis,96,,OzFish,False,False,163
Siganus doliatus,Siganidae,Siganus,93,,OzFish,False,False,164
Centropyge tibicen,Pomacanthidae,Centropyge,92,,OzFish,False,False,165
Bodianus axillaris,Labridae,Bodianus,91,,OzFish,False,False,166
Gnathodentex aureolineatus,Lethrinidae,Gnathodentex,91,,OzFish,False,False,167
Chromis nigrura,Pomacentridae,Chromis,90,,OzFish,False,False,168
Chromis cinerascens,Pomacentridae,Chromis,88,,OzFish,False,False,169
Heniochus acuminatus,Chaetodontidae,Heniochus,88,,OzFish,False,False,170
Choerodon jordani,Labridae,Choerodon,88,,OzFish,False,False,171
Seriolina nigrofasciata,Carangidae,Seriolina,88,,OzFish,False,False,172
Chaetodontoplus personifer,Pomacanthidae,Chaetodontoplus,87,,OzFish,False,False,173
Lutjanus lemniscatus,Lutjanidae,Lutjanus,86,Yellowstreaked snapper,OzFish,False,False,174
Naso vlamingii,Acanthuridae,Naso,86,Bignose unicornfish,OzFish,False,False,175
Lethrinus obsoletus,Lethrinidae,Lethrinus,85,,OzFish,False,False,176
Labroides bicolor,Labridae,Labroides,84,,OzFish,False,False,177
Acanthurus xanthopterus,Acanthuridae,Acanthurus,82,,OzFish,False,False,178
Chaetodontoplus duboulayi,Pomacanthidae,Chaetodontoplus,82,,OzFish,False,False,179
Chaetodon unimaculatus,Chaetodontidae,Chaetodon,82,,OzFish,False,False,180
Naso reticulatus,Acanthuridae,Naso,80,,OzFish,False,False,181
Cirrhilabrus randalli,Labridae,Cirrhilabrus,80,,OzFish,False,False,182
Lutjanus quinquelineatus,Lutjanidae,Lutjanus,80,Five-lined snapper,OzFish,False,False,183
Scarus chameleon,Scaridae,Scarus,78,,OzFish,False,False,184
Coris dorsomacula,Labridae,Coris,78,,OzFish,False,False,185
Elagatis bipinnulata,Carangidae,Elagatis,76,,OzFish,False,False,186
Upeneus tragula,Mullidae,Upeneus,76,,OzFish,False,False,187
Epinephelus tauvina,Serranidae,Epinephelus,76,,OzFish,False,False,188
Amblyglyphidodon aureus,Pomacentridae,Amblyglyphidodon,75,,OzFish,False,False,189
Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,74,,OzFish,False,False,190
Lutjanus monostigma,Lutjanidae,Lutjanus,72,One-spot snapper,OzFish,False,False,191
Pseudobalistes fuscus,Balistidae,Pseudobalistes,71,,OzFish,False,False,192
Dischistodus prosopotaenia,Pomacentridae,Dischistodus,70,,OzFish,False,False,193
Pseudanthias cooperi,Serranidae,Pseudanthias,70,,OzFish,False,False,194
Cheilinus fasciatus,Labridae,Cheilinus,70,,OzFish,False,False,195
Chelmon marginalis,Chaetodontidae,Chelmon,70,,OzFish,False,False,196
Lethrinus laticaudis,Lethrinidae,Lethrinus,70,Grass emperor,OzFish,False,False,197
Chanos chanos,Chanidae,Chanos,70,,OzFish,False,False,198
Chaetodon ephippium,Chaetodontidae,Chaetodon,70,,OzFish,False,False,199
Cyprinocirrhites polyactis,Cirrhitidae,Cyprinocirrhites,69,,OzFish,False,False,200
Naso fageni,Acanthuridae,Naso,68,,OzFish,False,False,201
Dascyllus reticulatus,Pomacentridae,Dascyllus,68,Reticulate dascyllus,OzFish,False,False,202
Thalassoma hardwicke,Labridae,Thalassoma,66,Sixbar wrasse,OzFish,False,False,203
Aphareus furca,Lutjanidae,Aphareus,64,,OzFish,False,False,204
Plectropomus areolatus,Serranidae,Plectropomus,64,,OzFish,False,False,205
Malacanthus brevirostris,Malacanthidae,Malacanthus,64,,OzFish,False,False,206
Epinephelus polyphekadion,Serranidae,Epinephelus,62,,OzFish,False,False,207
Neopomacentrus filamentosus,Pomacentridae,Neopomacentrus,62,,OzFish,False,False,208
Naso brachycentron,Acanthuridae,Naso,62,,OzFish,False,False,209
Argyrops spinifer,Sparidae,Argyrops,62,,OzFish,False,False,210
Aprion virescens,Lutjanidae,Aprion,61,,OzFish,False,False,211
Pomacentrus nagasakiensis,Pomacentridae,Pomacentrus,60,,OzFish,False,False,212
Balistapus undulatus,Balistidae,Balistapus,60,,OzFish,False,False,213
Chlorurus strongylocephalus,Scaridae,Chlorurus,60,,OzFish,False,False,214
Siganus trispilos,Siganidae,Siganus,58,,OzFish,False,False,215
Parapercis nebulosa,Pinguipedidae,Parapercis,58,,OzFish,False,False,216
Scomberoides lysan,Carangidae,Scomberoides,58,,OzFish,False,False,217
Epibulus insidiator,Labridae,Epibulus,57,,OzFish,False,False,218
Scarus oviceps,Scaridae,Scarus,56,,OzFish,False,False,219
Caranx ignobilis,Carangidae,Caranx,56,Giant trevally,OzFish,False,False,220
Chaetodon trifasciatus,Chaetodontidae,Chaetodon,56,,OzFish,False,False,221
Cantherhines pardalis,Monacanthidae,Cantherhines,56,,OzFish,False,False,222
Caranx papuensis,Carangidae,Caranx,56,Brassy trevally,OzFish,False,False,223
Hologymnosus doliatus,Labridae,Hologymnosus,54,,OzFish,False,False,224
Abalistes filamentosus,Balistidae,Abalistes,54,,OzFish,False,False,225
Plectorhinchus multivittatus,Haemulidae,Plectorhinchus,54,,OzFish,False,False,226
Lethrinus microdon,Lethrinidae,Lethrinus,54,,OzFish,False,False,227
Monotaxis grandoculis,Lethrinidae,Monotaxis,52,,OzFish,False,False,228
Anampses geographicus,Labridae,Anampses,52,,OzFish,False,False,229
Acanthurus nigricauda,Acanthuridae,Acanthurus,52,Epaulette surgeonfish,OzFish,False,False,230
Anampses lennardi,Labridae,Anampses,52,,OzFish,False,False,231
Chaetodon lineolatus,Chaetodontidae,Chaetodon,52,,OzFish,False,False,232
Paracirrhites forsteri,Cirrhitidae,Paracirrhites,51,,OzFish,False,False,233
Parupeneus trifasciatus,Mullidae,Parupeneus,49,,OzFish,False,False,234
Cephalopholis miniata,Serranidae,Cephalopholis,48,,OzFish,False,False,235
Pomacentrus milleri,Pomacentridae,Pomacentrus,46,,OzFish,False,False,236
Halichoeres claudia,Labridae,Halichoeres,46,,OzFish,False,False,237
Chromis opercularis,Pomacentridae,Chromis,46,,OzFish,False,False,238
Mulloidichthys vanicolensis,Mullidae,Mulloidichthys,46,Yellowfin goatfish,OzFish,False,False,239
Carangoides chrysophrys,Carangidae,Carangoides,46,,OzFish,False,False,240
Hipposcarus harid,Scaridae,Hipposcarus,46,,OzFish,False,False,241
Oxycheilinus digrammus,Labridae,Oxycheilinus,46,,OzFish,False,False,242
Chaetodon lunulatus,Chaetodontidae,Chaetodon,45,Oval butterflyfish,OzFish,False,False,243
Coris pictoides,Labridae,Coris,44,,OzFish,False,False,244
Pseudocheilinus evanidus,Labridae,Pseudocheilinus,44,,OzFish,False,False,245
Sphyraena forsteri,Sphyraenidae,Sphyraena,44,,OzFish,False,False,246
Choerodon vitta,Labridae,Choerodon,44,,OzFish,False,False,247
Halichoeres nigrescens,Labridae,Halichoeres,44,,OzFish,False,False,248
Zebrasoma veliferum,Acanthuridae,Zebrasoma,44,,OzFish,False,False,249
Neoglyphidodon melas,Pomacentridae,Neoglyphidodon,42,,OzFish,False,False,250
Halichoeres melanochir,Labridae,Halichoeres,42,,OzFish,False,False,251
Uraspis secunda,Carangidae,Uraspis,40,,OzFish,False,False,252
Gunnellichthys pleurotaenia,Microdesmidae,Gunnellichthys,40,,OzFish,False,False,253
Sufflamen bursa,Balistidae,Sufflamen,40,,OzFish,False,False,254
Siganus puellus,Siganidae,Siganus,40,Decorated rabbitfish,OzFish,False,False,255
Parupeneus barberinus,Mullidae,Parupeneus,40,,OzFish,False,False,256
Siganus punctatus,Siganidae,Siganus,38,,OzFish,False,False,257
Epinephelus fuscoguttatus,Serranidae,Epinephelus,38,,OzFish,False,False,258
Hemigymnus fasciatus,Labridae,Hemigymnus,37,Barred thicklip,OzFish,False,False,259
Pterocaesio tile,Caesionidae,pterocaesio,36,Dark-banded fusilier,OzFish,False,False,260
Chlorurus microrhinos,Scaridae,Chlorurus,36,,OzFish,False,False,261
Macolor niger,Lutjanidae,Macolor,36,,OzFish,False,False,262
Crenimugil crenilabis,Mugilidae,Crenimugil,36,,OzFish,False,False,263
Sphyraena barracuda,Sphyraenidae,Sphyraena,34,,OzFish,False,False,264
Loxodon macrorhinus,Carcharhinidae,Loxodon,34,,OzFish,False,False,265
Labracinus lineatus,Pseudochromidae,Labracinus,34,,OzFish,False,False,266
Labrichthys unilineatus,Labridae,Labrichthys,33,,OzFish,False,False,267
Caesio caerulaurea,Caesionidae,Caesio,32,,OzFish,False,False,268
Decapterus muroadsi,Carangidae,Decapterus,32,,OzFish,False,False,269
Chromis amboinensis,Pomacentridae,Chromis,32,,OzFish,False,False,270
Oxycheilinus unifasciatus,Labridae,Oxycheilinus,32,,OzFish,False,False,271
Anampses meleagrides,Labridae,Anampses,32,,OzFish,False,False,272
Naso elegans,Acanthuridae,Naso,32,,OzFish,False,False,273
Macolor macularis,Lutjanidae,Macolor,31,,OzFish,False,False,274
Aethaloperca rogaa,Serranidae,Aethaloperca,30,,OzFish,False,False,275
Hipposcarus longiceps,Scaridae,Hipposcarus,30,,OzFish,False,False,276
Bodianus bilunulatus,Labridae,Bodianus,30,,OzFish,False,False,277
Lethrinus erythropterus,Lethrinidae,Lethrinus,30,Longfin emperor,OzFish,False,False,278
Chaetodon ornatissimus,Chaetodontidae,Chaetodon,30,,OzFish,False,False,279
Pseudobalistes flavimarginatus,Balistidae,Pseudobalistes,28,,OzFish,False,False,280
Aulostomus chinensis,Aulostomidae,Aulostomus,28,,OzFish,False,False,281
Kyphosus cinerascens,Kyphosidae,Kyphosus,28,,OzFish,False,False,282
Chaetodon punctatofasciatus,Chaetodontidae,Chaetodon,28,,OzFish,False,False,283
Choerodon rubescens,Labridae,Choerodon,28,,OzFish,False,False,284
Decapterus macarellus,Carangidae,Decapterus,28,,OzFish,False,False,285
Heniochus singularius,Chaetodontidae,Heniochus,26,,OzFish,False,False,286
Parachaetodon ocellatus,Chaetodontidae,Parachaetodon,26,,OzFish,False,False,287
Coris gaimard,Labridae,Coris,26,African coris,OzFish,False,False,288
Scarus psittacus,Scaridae,Scarus,26,,OzFish,False,False,289
Pseudochromis fuscus,Pseudochromidae,Pseudochromis,26,,OzFish,False,False,290
Torquigener pallimaculatus,Tetraodontidae,Torquigener,26,,OzFish,False,False,291
Pseudodax moluccanus,Labridae,Pseudodax,26,,OzFish,False,False,292
Parapercis multiplicata,Pinguipedidae,Parapercis,24,,OzFish,False,False,293
Rachycentron canadum,Rachycentridae,Rachycentron,24,,OzFish,False,False,294
Parupeneus chrysopleuron,Mullidae,Parupeneus,24,,OzFish,False,False,295
Feroxodon multistriatus,Tetraodontidae,Feroxodon,24,,OzFish,False,False,296
Pomacentrus moluccensis,Pomacentridae,Pomacentrus,24,Lemon damsel,OzFish,False,False,297
Calotomus carolinus,Scaridae,Calotomus,24,,OzFish,False,False,298
Naso caesius,Acanthuridae,Naso,24,,OzFish,False,False,299
Balistoides viridescens,Balistidae,Balistoides,24,Titan triggerfish,OzFish,False,False,300
Paracirrhites arcatus,Cirrhitidae,Paracirrhites,23,,OzFish,False,False,301
Iniistius pavo,Labridae,Iniistius,22,,OzFish,False,False,302
Gracila albomarginata,Serranidae,Gracila,22,,OzFish,False,False,303
Tylosurus crocodilus,Belonidae,Tylosurus,22,,OzFish,False,False,304
Naso lopezi,Acanthuridae,Naso,22,,OzFish,False,False,305
Centropyge bicolor,Pomacanthidae,Centropyge,22,,OzFish,False,False,306
Aluterus scriptus,Monacanthidae,Aluterus,22,,OzFish,False,False,307
Novaculichthys taeniourus,Labridae,Novaculichthys,22,,OzFish,False,False,308
Hologymnosus rhodonotus,Labridae,Hologymnosus,22,,OzFish,False,False,309
Plagiotremus rhinorhynchos,Blenniidae,Plagiotremus,22,,OzFish,False,False,310
Lagocephalus lunaris,Tetraodontidae,Lagocephalus,22,,OzFish,False,False,311
Choerodon cephalotes,Labridae,Choerodon,22,,OzFish,False,False,312
Scarus forsteni,Scaridae,Scarus,22,,OzFish,False,False,313
Epinephelus merra,Serranidae,Epinephelus,21,,OzFish,False,False,314
Carcharhinus plumbeus,Carcharhinidae,Carcharhinus,20,,OzFish,False,False,315
Rhynchobatus australiae,Rhynchobatidae,Rhynchobatus,20,,OzFish,False,False,316
Monacanthus chinensis,Monacanthidae,Monacanthus,20,,OzFish,False,False,317
Ostorhinchus aureus,Apogonidae,Ostorhinchus,20,,OzFish,False,False,318
Ostracion cubicus,Ostraciidae,Ostracion,20,,OzFish,False,False,319
Thalassoma quinquevittatum,Labridae,Thalassoma,20,,OzFish,False,False,320
Coradion chrysozonus,Chaetodontidae,Coradion,20,,OzFish,False,False,321
Pseudanthias evansi,Serranidae,Pseudanthias,20,,OzFish,False,False,322
Ptereleotris monoptera,Microdesmidae,Ptereleotris,20,,OzFish,False,False,323
Coris auricularis,Labridae,Coris,20,,OzFish,False,False,324
Chrysiptera glauca,Pomacentridae,Chrysiptera,20,,OzFish,False,False,325
Parapercis xanthozona,Pinguipedidae,Parapercis,20,,OzFish,False,False,326
Paramonacanthus choirocephalus,Monacanthidae,Paramonacanthus,20,,OzFish,False,False,327
Cheilinus undulatus,Labridae,Cheilinus,20,,OzFish,False,False,328
Cantherhines dumerilii,Monacanthidae,Cantherhines,20,,OzFish,False,False,329
Rhinecanthus rectangulus,Balistidae,Rhinecanthus,18,,OzFish,False,False,330
Plectroglyphidodon lacrymatus,Pomacentridae,Plectroglyphidodon,18,,OzFish,False,False,331
Hemitaurichthys polylepis,Chaetodontidae,Hemitaurichthys,18,,OzFish,False,False,332
Pomacanthus sexstriatus,Pomacanthidae,Pomacanthus,18,,OzFish,False,False,333
Forcipiger flavissimus,Chaetodontidae,Forcipiger,18,,OzFish,False,False,334
Galeocerdo cuvier,Carcharhinidae,Galeocerdo,18,,OzFish,False,False,335
Anampses caeruleopunctatus,Labridae,Anampses,18,,OzFish,False,False,336
Macropharyngodon negrosensis,Labridae,Macropharyngodon,18,,OzFish,False,False,337
Aluterus monoceros,Monacanthidae,Aluterus,18,,OzFish,False,False,338
Lutjanus malabaricus,Lutjanidae,Lutjanus,18,Malabar blood snapper,OzFish,False,False,339
Meiacanthus grammistes,Blenniidae,Meiacanthus,18,,OzFish,False,False,340
Arothron hispidus,Tetraodontidae,Arothron,18,,OzFish,False,False,341
Kyphosus bigibbus,Kyphosidae,Kyphosus,18,,OzFish,False,False,342
